sex,age,realhrwage,wave,sch,annlabinc,region,female
1,42,40.2504463195801,2011,12.0,90000.0,1.0,0
1,45,72.6141052246094,2011,18.0,140000.0,2.0,0
1,57,24.5161895751953,1981,10.0,14000.0,1.0,0
1,43,34.8762245178223,2007,17.0,65000.0,4.0,0
1,36,31.5015068054199,1981,14.0,27147.0,2.0,0
1,62,12.5,2011,14.0,25000.0,3.0,0
1,32,20.9834499359131,1999,14.0,33000.0,2.0,0
1,39,79.502197265625,1981,17.0,40000.0,2.0,0
1,27,10.7847261428833,1981,9.0,12000.0,4.0,0
1,51,80.3769378662109,2011,18.0,145000.0,1.0,0
1,26,11.2244901657104,2011,12.0,22000.0,2.0,0
1,40,16.4644870758057,1999,14.0,36600.0,4.0,0
1,56,34.8665390014648,2007,12.0,72000.0,1.0,0
1,46,56.881908416748,1990,16.0,85000.0,4.0,0
1,51,16.2507362365723,1999,16.0,39000.0,2.0,0
1,26,11.6102848052979,2009,15.0,20000.0,3.0,0
1,42,21.6724510192871,2007,12.0,33000.0,3.0,0
1,43,121.116600036621,1999,12.0,40000.0,1.0,0
1,27,22.3670101165771,1999,16.0,35000.0,4.0,0
1,31,15.2284259796143,2011,12.0,30000.0,3.0,0
1,35,33.8633270263672,2009,16.0,68000.0,3.0,0
1,35,28.7937564849854,1999,16.0,24000.0,1.0,0
1,43,16.5094547271729,2007,17.0,40000.0,3.0,0
1,26,13.7254905700684,2011,12.0,28000.0,4.0,0
1,48,44.9637794494629,1990,14.0,60500.0,4.0,0
1,33,21.0061588287354,1999,13.0,37000.0,3.0,0
1,33,35.0826416015625,1990,17.0,46000.0,1.0,0
1,37,32.150333404541,1999,13.0,54000.0,1.0,0
1,40,17.611629486084,1981,10.0,16000.0,3.0,0
1,31,16.0967197418213,2007,12.0,29250.0,4.0,0
1,55,37.6817474365234,2009,16.0,50000.0,4.0,0
1,33,42.8571434020996,2011,16.0,105000.0,4.0,0
1,58,11.7346935272217,2011,12.0,23000.0,3.0,0
1,25,24.2478160858154,2009,16.0,58000.0,2.0,0
1,55,27.9939308166504,1999,14.0,56000.0,2.0,0
1,34,12.9901962280273,2011,12.0,53000.0,1.0,0
1,31,20.5803565979004,1999,12.0,29000.0,3.0,0
1,29,16.9126777648926,1999,14.0,31000.0,3.0,0
1,38,33.5128974914551,1981,18.0,39580.0,2.0,0
1,32,11.3854665756226,1990,12.0,16000.0,3.0,0
1,63,15.2389516830444,1981,6.0,8900.0,3.0,0
1,51,15.2583427429199,1999,12.0,26000.0,2.0,0
1,50,19.1627616882324,2007,12.0,35000.0,1.0,0
1,51,10.4575166702271,2011,16.0,40000.0,2.0,0
1,64,9.31490421295166,2011,18.0,7750.0,4.0,0
1,50,32.0474510192871,1999,13.0,63000.0,1.0,0
1,61,16.5680465698242,2011,12.0,56000.0,1.0,0
1,43,42.3779830932617,1981,14.0,55000.0,3.0,0
1,62,33.8272132873535,1981,12.0,30000.0,1.0,0
1,28,6.9414758682251,2007,12.0,18500.0,4.0,0
1,32,19.4901962280273,2011,16.0,49700.0,3.0,0
1,55,24.246410369873,1999,15.0,40000.0,4.0,0
1,51,39.8972320556641,1999,17.0,64000.0,2.0,0
1,48,22.8910369873047,1999,12.0,45000.0,2.0,0
1,55,14.4627456665039,1999,12.0,29000.0,3.0,0
1,51,13.0244569778442,2011,12.0,23965.0,2.0,0
1,31,14.2410955429077,1999,11.0,25700.0,2.0,0
1,38,82.9408645629883,2009,18.0,165000.0,3.0,0
1,34,21.3043479919434,2011,12.0,49000.0,3.0,0
1,46,13.3044738769531,1999,14.0,29000.0,3.0,0
1,35,35.4087944030762,1999,16.0,71000.0,1.0,0
1,46,15.2396697998047,1999,18.0,29000.0,2.0,0
1,38,27.8855953216553,2007,12.0,58000.0,2.0,0
1,42,17.2636585235596,2009,14.0,26000.0,3.0,0
1,41,38.6335906982422,2011,17.0,95000.0,1.0,0
1,35,24.072229385376,2007,13.0,57000.0,2.0,0
1,38,37.9799461364746,2011,13.0,85227.0,3.0,0
1,37,17.909553527832,1981,12.0,15000.0,3.0,0
1,40,19.7408180236816,1999,11.0,38000.0,2.0,0
1,33,38.0962448120117,2009,14.0,90000.0,2.0,0
1,29,11.8541736602783,2007,14.0,19000.0,3.0,0
1,36,13.298529624939,1981,9.0,11000.0,3.0,0
1,52,8.87768173217773,1981,12.0,8000.0,3.0,0
1,61,18.8696022033691,1981,8.0,16000.0,2.0,0
1,53,16.1504402160645,1990,18.0,38676.0,3.0,0
1,31,56.8422164916992,1999,16.0,118000.0,2.0,0
1,27,22.3445529937744,1999,14.0,35000.0,4.0,0
1,40,17.4862079620361,1999,12.0,33000.0,1.0,0
1,26,22.2551746368408,1999,16.0,35000.0,3.0,0
1,60,7.84478664398193,2009,17.0,18000.0,2.0,0
1,28,64.4833679199219,1999,16.0,115000.0,4.0,0
1,31,15.1442308425903,2011,10.0,31500.0,3.0,0
1,49,41.1012344360352,2011,14.0,99876.0,3.0,0
1,49,30.3954696655273,2007,11.0,59000.0,2.0,0
1,57,10.0011949539185,1981,12.0,8000.0,1.0,0
1,49,23.8508243560791,2011,13.0,55000.0,2.0,0
1,29,11.6642894744873,2007,13.0,22000.0,2.0,0
1,53,12.4777183532715,2011,14.0,35000.0,1.0,0
1,34,34.5430335998535,1981,16.0,33250.0,2.0,0
1,33,30.5882358551025,2011,18.0,65000.0,2.0,0
1,28,15.1444826126099,1981,12.0,15200.0,1.0,0
1,44,19.3020973205566,2009,16.0,45600.0,3.0,0
1,37,32.6972465515137,1990,16.0,43600.0,2.0,0
1,30,23.987268447876,2007,15.0,57000.0,4.0,0
1,42,18.949182510376,2011,12.0,44000.0,3.0,0
1,40,26.8453273773193,2007,13.0,53810.0,4.0,0
1,48,31.5621948242188,2007,13.0,4000.0,2.0,0
1,29,15.3483963012695,1999,14.0,35000.0,1.0,0
1,29,14.2351942062378,2007,12.0,26000.0,1.0,0
1,27,11.8080463409424,1981,10.0,9808.0,1.0,0
1,40,37.2425689697266,1999,18.0,68000.0,2.0,0
1,39,22.1812362670898,1999,12.0,36000.0,3.0,0
1,42,37.9619178771973,1999,12.0,60000.0,1.0,0
1,38,21.7621250152588,1999,14.0,32000.0,1.0,0
